@relation 'Data_Clean_WEKA-weka.filters.unsupervised.instance.SubsetByExpression-E(ATT2 >= 38719) and (ATT2 <= 39447)-weka.filters.unsupervised.attribute.Remove-Rfirst-7,15-21'

@attribute AvgOddsDiff numeric
@attribute P1_Seed {'not seeded',2,8,5,6,7,1,3,4,9,13,11,12,14,10,15,16,29,32,26,21,22,27,18,30,31,17,25,19,23,28,20,24,33}
@attribute P1_Entry {WC,regular,Q,LL,PR,SE,Alt}
@attribute SameHand {TRUE,FALSE}
@attribute HeightDiff numeric
@attribute SameCountry {FALSE,TRUE}
@attribute AgeDiff numeric
@attribute PtsDiffNorm numeric
@attribute P2_Result {W,L}

@data
-1.346,2,regular,TRUE,0,TRUE,-0.80219,0.045245,W
0.779,'not seeded',regular,TRUE,10,FALSE,8.145106,-0.024226,L
2.1244,'not seeded',WC,TRUE,15,FALSE,-8.613279,-0.092048,W
-0.0348,'not seeded',regular,TRUE,11,TRUE,-6.806297,-0.021355,W
1.9222,'not seeded',WC,TRUE,-2,FALSE,0.561259,-0.039929,W
-1.6362,'not seeded',regular,FALSE,2,FALSE,3.430527,0.028687,W
0.2026,'not seeded',regular,TRUE,-15,FALSE,-4.134155,-0.010479,L
-1.9156,1,regular,FALSE,17,FALSE,-5.371663,0.208383,L
0.2945,'not seeded',regular,FALSE,-8,FALSE,-0.862423,-0.010845,W
4.81425,'not seeded',Q,TRUE,-12,FALSE,-10.737851,-0.063697,W
3.0444,'not seeded',regular,TRUE,-3,FALSE,1.267625,-0.031497,W
